taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
100217	5	Epizootic haematopoietic necrosis virus	species	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Ranavirus	Epizootic haematopoietic necrosis virus
1003835	5	Severe fever with thrombocytopenia syndrome virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Bandavirus	Dabie bandavirus
100755	5	Sweet potato leaf curl virus	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Sweet potato leaf curl virus
10243	5	Cowpox virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox virus
10244	5	Monkeypox virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox virus
10245	5	Vaccinia virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
10258	5	Orf virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Orf virus
10266	5	Sheeppox virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Sheeppox virus
10273	5	Myxoma virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Leporipoxvirus	Myxoma virus
10279	5	Molluscum contagiosum virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus
10281	5	Molluscum contagiosum virus subtype 2	no rank	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus
10298	5	Human alphaherpesvirus 1	species	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Human alphaherpesvirus 1
10299	5	Human alphaherpesvirus 1 strain 17	no rank	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Human alphaherpesvirus 1
