taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
172733	1465	uncultured Eubacteriales bacterium	species	Bacteria	Firmicutes	Clostridia	Eubacteriales			uncultured Eubacteriales bacterium
853	1205	Faecalibacterium prausnitzii	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii
165190	829	uncultured Collinsella sp.	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	uncultured Collinsella sp.
515619	627	[Eubacterium] rectale ATCC 33656	strain	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae		[Eubacterium] rectale
1898207	587	Clostridiales bacterium	species	Bacteria	Firmicutes	Clostridia	Eubacteriales			Clostridiales bacterium
1262850	585	Collinsella sp. CAG:166	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. CAG:166
1898205	582	Oscillospiraceae bacterium	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae		Oscillospiraceae bacterium
541003	528	uncultured Oscillospiraceae bacterium	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae		uncultured Oscillospiraceae bacterium
159272	433	uncultured Prevotella sp.	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	uncultured Prevotella sp.
1262897	415	Faecalibacterium sp. CAG:74	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium sp. CAG:74
1262870	408	Dialister sp. CAG:486	species	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister sp. CAG:486
626939	374	Phascolarctobacterium succinatutens YIT 12067	strain	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
745368	371	Gemmiger formicilis	species	Bacteria	Firmicutes	Clostridia	Eubacteriales		Gemmiger	Gemmiger formicilis
537011	346	Prevotella copri DSM 18205	strain	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
74426	346	Collinsella aerofaciens	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
1160721	337	Ruminococcus bicirculans	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus bicirculans
411483	321	Faecalibacterium prausnitzii A2-165	strain	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii
40518	303	Ruminococcus bromii	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus bromii
1262915	292	Phascolarctobacterium sp. CAG:266	species	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp. CAG:266
2086273	282	Subdoligranulum sp. APC924/74	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum	Subdoligranulum sp. APC924/74
1262779	232	Clostridium sp. CAG:217	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. CAG:217
1150298	209	Fusicatenibacter saccharivorans	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans
1519439	202	Oscillibacter sp. ER4	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. ER4
1304	200	Streptococcus salivarius	species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
1263000	186	Firmicutes bacterium CAG:110	species	Bacteria	Firmicutes					Firmicutes bacterium CAG:110
1263101	184	Phascolarctobacterium succinatutens CAG:287	strain	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
428128	183	[Eubacterium] siraeum DSM 15702	strain	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae		[Eubacterium] siraeum
286133	181	uncultured Sutterella sp.	species	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	uncultured Sutterella sp.
