taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
1003335	1	Kluyveromyces marxianus DMKU3-1042	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus
1028729	1	Fusarium pseudograminearum CS3096	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudograminearum
1036611	1	Aspergillus versicolor CBS 583.65	strain	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor
1036612	1	Aspergillus sydowii CBS 593.65	strain	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sydowii
1037660	1	Tilletiaria anomala UBC 951	strain	Eukaryota	Basidiomycota	Exobasidiomycetes	Georgefischeriales	Tilletiariaceae	Tilletiaria	Tilletiaria anomala
1041607	1	Wickerhamomyces ciferrii	species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces ciferrii
1042311	1	Trichoderma asperellum CBS 433.97	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma asperellum
1043002	1	Aureobasidium pullulans EXF-150	strain	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
1043003	1	Aureobasidium melanogenum CBS 110374	strain	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum
1043004	1	Aureobasidium namibiae CBS 147.97	strain	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium namibiae
1043005	1	Aureobasidium subglaciale EXF-2481	strain	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale
1051616	1	Verticillium nonalfalfae	species	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium nonalfalfae
105984	1	Apiotrichum porosum	species	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum porosum
1064592	1	Naumovozyma castellii CBS 4309	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma castellii
1069201	1	Aspergillus luchuensis	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis
1069680	1	Pneumocystis murina B123	strain	Eukaryota	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis murina
1071378	1	Naumovozyma dairenensis CBS 421	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis
1071380	1	Tetrapisispora blattae CBS 6284	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora blattae
1071381	1	Tetrapisispora phaffii CBS 4417	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii
1071382	1	Kazachstania africana CBS 2517	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania africana
1071383	1	Kazachstania naganishii CBS 8797	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania naganishii
1072389	1	Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1	strain	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Drepanopeziza	Drepanopeziza brunnea
1073089	1	Aspergillus wentii DTO 134E9	strain	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus wentii
1073090	1	Penicilliopsis zonata CBS 506.65	strain	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis zonata
1080233	1	Zasmidium cellare ATCC 36951	strain	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	Zasmidium cellare
1080349	1	Saccharomyces eubayanus	species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces eubayanus
1081103	1	Metarhizium album ARSEF 1941	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium album
1081104	1	Cordyceps fumosorosea ARSEF 2679	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps fumosorosea
1089451	1	Fusarium odoratissimum NRRL 54006	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium odoratissimum
