taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
10497	17	African swine fever virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Asfuvirales	Asfarviridae	Asfivirus	African swine fever virus
2049444	9	Gammapapillomavirus sp.	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus sp.
230604	8	Extra small virus	no rank	Viruses				Sarthroviridae	Macronovirus	Macrobrachium satellite virus 1
122928	4	Norovirus GI	clade	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
1493511	4	Synechococcus phage ACG-2014f	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Atlauavirus	Synechococcus virus AC2014fSyn7803C8
1985726	4	Klebsiella virus KP32	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Przondovirus	Klebsiella virus KP32
122929	3	Norovirus GII	clade	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
1278402	3	Cyanophage S-RIM12	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Brizovirus	Cyanophage S-RIM12
1493508	3	Synechococcus phage ACG-2014b	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Nereusvirus	Synechococcus virus ACG2014bSyn7803C61
2054610	3	Rodent Torque teno virus 3	no rank	Viruses				Anelloviridae	Wawtorquevirus	Torque teno rodent virus 2
2292426	3	Blackcurrant leafroll-associated virus 1	species	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Closterovirus	Blackcurrant leafroll-associated virus 1
2304480	3	Culex Iflavi-like virus 4	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae		Culex Iflavi-like virus 4
262897	3	Norovirus GIV	clade	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
96892	3	Nanovirus-like particle	species	Viruses				Alphasatellitidae		Nanovirus-like particle
10679	2	Escherichia virus P2	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Peduovirus	Escherichia virus P2
10717	2	Bacillus phage phi105	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Spizizenvirus	Bacillus virus phi105
10759	2	Enterobacteria phage T3	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Teetrevirus	Escherichia virus T3
