acc	genome-size
GCF_000006945.2	4951383
GCF_000017205.1	6588339
GCF_000148585.2	1868883
GCF_000392875.1	2881400
GCF_000742135.1	5545784
GCF_001027105.1	2782562
GCF_001096185.1	2117177
GCF_001544255.1	2484851
GCF_002949675.1	4578459
GCF_002950215.1	4938295
GCF_003697165.2	5034834
GCF_006742205.1	2427041
GCF_009759685.1	3990388
